user_id,sessions_count
user_000342,80
user_000572,72
user_000639,71
user_000734,70
user_000807,69
user_000949,68
user_000404,68
user_000996,68
user_000073,67
user_000933,67
user_000593,67
user_000323,67
user_000110,66
user_000934,66
user_000522,66
user_000334,66
user_000500,66
user_000176,66
user_000780,66
user_000417,65
user_000069,65
user_000462,65
user_000184,65
user_000376,65
user_000795,64
user_000709,64
user_000845,64
user_000132,64
user_000798,64
user_000571,64
user_000269,63
user_000582,63
user_000265,63
user_000667,63
user_000257,63
user_000806,63
user_000581,63
user_000393,63
user_000857,63
user_000098,62
user_000863,62
user_000313,62
user_000921,62
user_000157,62
user_000322,62
user_000503,62
user_000408,62
user_000890,62
user_000108,62
user_000743,62
user_000193,62
user_000268,62
user_000463,62
user_000769,61
user_000128,61
user_000253,61
user_000591,61
user_000384,61
user_000489,61
user_000285,61
user_000684,61
user_000738,61
user_000229,61
user_000926,61
user_000755,61
user_000836,61
user_000277,60
user_000271,60
user_000662,60
user_000296,60
user_000266,60
user_000060,60
user_000234,60
user_000007,60
user_000605,60
user_000884,60
user_000663,60
user_000856,60
user_000290,60
user_000338,60
user_000599,60
user_000416,60
user_000992,60
user_000597,60
user_000790,60
user_000756,60
user_000263,60
user_000127,60
user_000392,60
user_000017,60
user_000654,60
user_000814,60
user_000774,60
user_000319,59
user_000668,59
user_000374,59
user_000202,59
user_000262,59
user_000505,59
user_000602,59
user_000652,59
user_000649,59
user_000615,59
user_000614,59
user_000085,59
user_000584,59
user_000950,59
user_000617,59
user_000937,59
user_000731,59
user_000186,59
user_000148,59
user_000049,58
user_000889,58
user_000490,58
user_000355,58
user_000590,58
user_000521,58
user_000420,58
user_000428,58
user_000099,58
user_000208,58
user_000523,58
user_000104,58
user_000303,58
user_000057,58
user_000513,58
user_000596,58
user_000019,58
user_000381,58
user_000115,58
user_000084,58
user_000515,58
user_000496,58
user_000874,58
user_000022,58
user_000655,58
user_000066,57
user_000424,57
user_000445,57
user_000360,57
user_000957,57
user_000292,57
user_000346,57
user_000881,57
user_000842,57
user_000946,57
user_000412,57
user_000139,57
user_000135,57
user_000359,57
user_000024,57
user_000771,57
user_000671,57
user_000719,57
user_000275,57
user_000256,57
user_000562,57
user_000840,57
user_000770,57
user_000968,57
user_000032,57
user_000480,57
user_000625,57
user_000967,57
user_000236,57
user_000227,57
user_000431,57
user_000624,57
user_000036,57
user_000072,57
user_000299,57
user_000898,57
user_000201,57
user_000587,57
user_000837,57
user_000225,57
user_000975,57
user_000827,57
user_000120,56
